p,t,u,v,speed,rh,time,h,report_id
-11.1,319.65,-9.204008566224385,7.447941078772585,11.84,0,19S7-21-47 12:00:00+00,7.0546999999999995,19S72147
-11.8,323.45,-8.928964794293357,6.711370031690237,11.17,0,19S7-21-47 12:00:00+00,7.1282,19S72147
-11.9,323.84999999999997,-8.968687711268139,6.5400795666220946,11.1,0,19S7-21-47 12:00:00+00,7.1458,19S72147
-12.4,324.95,-8.55396964317405,6.226235085800795,10.58,0,19S7-21-47 12:00:00+00,7.202800000000001,19S72147
-12.7,325.84999999999997,-8.830000624733275,6.201224795732689,10.79,0,19S7-21-47 12:00:00+00,7.2584,19S72147
-13.6,324.04999999999995,-9.846779188560548,6.31909325866701,11.7,0,19S7-21-47 12:00:00+00,7.3892,19S72147
-13.7,322.34999999999997,-9.806253687304793,5.988112275184992,11.49,0,19S7-21-47 12:00:00+00,7.416600000000001,19S72147
-14.3,301.65,-10.656307376744856,5.836575459319716,12.15,0,19S7-21-47 12:00:00+00,7.5183,19S72147
-14.7,296.95,-11.52625377984867,6.63592298045451,13.3,0,19S7-21-47 12:00:00+00,7.5942,19S72147
-15.1,294.95,-11.283201362474118,7.610615416236862,13.61,0,19S7-21-47 12:00:00+00,7.670100000000001,19S72147
-15.6,292.84999999999997,-11.976380824845938,9.031406442977888,15.0,0,19S7-21-47 12:00:00+00,7.7286,19S72147
-16.5,292.95,-12.196645673199697,10.677356148523808,16.21,0,19S7-21-47 12:00:00+00,7.8382,19S72147
-18.2,294.54999999999995,-12.186781045695577,12.080892671664419,17.16,0,19S7-21-47 12:00:00+00,8.0306,19S72147
-19.6,297.45,-12.497506761854744,13.313148565887596,18.26,0,19S7-21-47 12:00:00+00,8.1866,19S72147
-19.6,297.45,-12.61655902579248,13.407107754795376,18.41,0,19S7-21-47 12:00:00+00,8.194799999999999,19S72147
-20.2,298.25,-12.476484265579863,14.156773656830786,18.87,0,19S7-21-47 12:00:00+00,8.2478,19S72147
-20.3,298.54999999999995,-12.379993141565654,14.201456608911194,18.84,0,19S7-21-47 12:00:00+00,8.2599,19S72147
