time,v150,v200,fried,eps,year,month,hour
2017-10-14 12:00:00+00,24.826842981682034,13.983092839577095,0.09504928230396656,1.0372833982943026,2017,10,12
2017-10-15 12:00:00+00,7.470000000000001,7.470000000000001,0.08282458287813056,1.1903838103086417,2017,10,12
2017-10-16 12:00:00+00,12.934184192719663,11.359261827957624,0.07910241755992385,1.246397336453137,2017,10,12
2017-10-17 12:00:00+00,18.40724729288378,13.55629978789224,0.06854634585694216,1.4383413341895561,2017,10,12
2017-10-18 12:00:00+00,13.648315852863801,12.182334769539173,0.0880171271699776,1.120157470753292,2017,10,12
2017-10-19 12:00:00+00,19.442502642994086,7.7123379691570655,0.05986004759129539,1.64705920761797,2017,10,12
2017-10-20 12:00:00+00,11.47,11.47,0.05409745755989747,1.8225078774641,2017,10,12
2017-10-21 12:00:00+00,13.050838873385514,18.949639392019016,0.0795171225997171,1.2398970099811397,2017,10,12
2017-10-22 12:00:00+00,4.762512360771739,1.418833900910429,0.08089328552543477,1.218803784681152,2017,10,12
2017-10-23 12:00:00+00,13.370297752826085,1.1862104205278448,0.09261119648844532,1.0645909597550007,2017,10,12
2017-10-24 12:00:00+00,22.23448603412041,10.874983267422108,0.09466164094944339,1.0415310950118561,2017,10,12
2017-10-25 12:00:00+00,24.14321360717928,7.025093632606595,0.08599844914541582,1.1464514015477276,2017,10,12
2017-10-26 12:00:00+00,17.361929041160103,9.92831356722944,0.10040304857874763,0.9819725989332379,2017,10,12
2017-10-27 12:00:00+00,11.493883185820346,10.5023868248191,0.07610828673151912,1.2954311125343214,2017,10,12
2017-10-28 12:00:00+00,12.01074136171136,11.827934377490456,0.08217741780184049,1.1997583422666855,2017,10,12
2017-10-30 12:00:00+00,12.08137730369412,9.273548542130255,0.09282274992909366,1.0621646377532141,2017,10,12
2017-10-31 12:00:00+00,12.36512826195363,8.9878484119223,0.023992914494073297,4.109256613157492,2017,10,12
2017-11-01 12:00:00+00,12.18,12.18,0.08296558325724152,1.1883607477090499,2017,11,12
2017-11-02 12:00:00+00,15.04224236992965,16.90959662445555,0.1089189797993082,0.9051961626463852,2017,11,12
2017-11-03 12:00:00+00,20.4134297620193,17.40509659592605,0.09136660977350992,1.0790927101059868,2017,11,12
