SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Qas,Swamp and River Deposits,Swamp and River Deposits,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qbs,Lempung Tufaan,Tuffaceous Clay,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qd,,,,,,
Qhk,Batugamping Koral,Coralline Limestone,Sediment: reef: limestone,Sedimentation: littoral,Sedimentation: littoral,
Qhsb,Formasi Bagor,Bagor Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qhv1,"Batuan Gunungapi Raung, Pendil","Raung, Pendil volcanic Rock",Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qhvb,Batuan Gunungapi Baluran,Baluran Volcanic Rocks,Extrusive: mafic: lava,Volcanism: subareal,Volcanism: subareal,
Qhvi,Batuan Gunungapi Muda Ijen,Young Ijen volcanic rocks,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,
Qi,Batuan Intrusive,Intrusive Rock,,,,
Qjk,Morphonit Klotok,Klotok Morphonit,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qlk,Lava puncak Katu,Lava of Katu cone,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qlk1,Lava andesit parasit,Parasite andesitic lava,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qlks,Lava Parasite Kepolo G. Semeru,Lava of Kepolo Semeru Parasite,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qls3,Lava Parasite G. Semeru,Lava of Semeru Parasite,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qlv,Endapan Ladu dari Rempah G.api,Avalanche Deposits From Nue Ardente,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qp,,,,,,
Qpat,Batuan gunungapi tua Anjasmara,Old anjasmara volcanic,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpb,Basal Porfiri,Basalt Porphyr,Intrusive: mafic,Volcanism: subaerial,Volcanism: subaerial,
Qpd1,Diorit,Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qpg2,Gajah mungkur morponit,Gajah mungkur morphonit,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qpj,Formasi Jombang,Jombang  Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qpk1,Formasi Kalipucang,Kalipucang Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qpkb,Batuan gunungapi Kawi-butak,Kawi-Butak Volcanics,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpl,Batugamping Terumbu,Reef Limestone,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Qpp,Formasi Pamekasan,Pamekasan Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Qpp1,Formasi Pucangan,Pucangan Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
